video,predict,target
test-00440,这里/裤子/钱/多少/我/喜欢/。,这里/裤子/钱/多少/？/我/喜欢/。
test-00441,这里/黑/唱歌/不喜欢/。,这里/黑/背心/不喜欢/。
test-00442,这里/储蓄/衣服/钱/坐/可以/？,这里/洗衣机/钱/退/可以/？
test-00443,这里/计划/和/为/月亮/休息/去/。,这里/一周/计划/和/妻子/2/蜜月/度假/。
test-00444,这里/一周/你们/作业/完成/时间/。,这里/一周/你们/作业/完成/时间/抓紧/。
test-00445,这里/经济/最/喜欢/。,这里/品牌/很/喜欢/。
test-00446,这里/球/考试/看/完了/舒服/。,这里/篮球/比赛/看/完了/舒服/爽/。
test-00447,这里/天气/温度/逐渐/。,这里/天气/温度/降/越来越/冷/。
test-00448,这里/楼房/是/不行/。,这里/楼房/租/不行/。
test-00449,这里/房/钱/限制/多少/？,这里/房子/押金/多少/？
test-00450,这里/晚会/衣服/钱/多少/？,这里/晚会/衣服/钱/多少/？
test-00451,这里/中国/吃饭/家/很/喜欢/。,这里/中国/餐厅/很/喜欢/。
test-00452,这里/房/外/贸易/很/喜欢/。,这里/家/外/贸易/公司/很/喜欢/。
test-00453,这里/家/吃饭/更/好/。,这里/家/小/吃/很/好/。
test-00454,这里/家/咖啡/号/贵/。,这里/家/咖啡/喝/坏/贵/。
test-00455,这里/家/咖啡/喝/坏/。,这里/家/咖啡/喝/差劲/。
test-00456,这里/家/电影/票/钱/多少/更/便宜/。,这里/家/电影/票/价格/很/便宜/。
test-00457,这里/电影/房/计划/最/好/。,这里/电影院/设计/很/好/。
test-00458,这里/房/装饰/改变/最/特别/。,这里/房子/装修/很/特别/。
test-00459,这里/房/哥哥/价格/贵/。,这里/餐厅/品尝/坏/价格/贵/。
test-00491,这/衣服/钱/便宜/值/。,这/衣服/钱/便宜/值/。
test-00492,钢笔/卖/钱/多/？,钢笔/卖/钱/20/。
test-00493,这/房子/装饰/钱/多少钱/？,这/房子/装修/钱/多少/？
test-00494,运动/这/你/喜欢/？,运动/这/你/喜欢/？
test-00495,这/古典/音乐/我/爸爸/喜欢/。,这/古典/音乐/我/爸爸/喜欢/喜欢/。
test-00496,这/我/妈妈/唱歌/是/。,这/我/妈妈/唱歌/是/。
test-00497,唱歌/这/我/喜欢/。,音乐/这/我/喜欢/喜欢/。
test-00498,请/钱/多少钱/？,邀请/他/钱/多少/？
test-00499,钱/高/人/。,收入/高/人/少/少/。
test-00500,鼓励/另/人/送/力量/。,鼓励/别人/给/力量/。
